# Energies per box
# Cycle, LJ_Inter, LJ_tail, LJ_Inter_Total, EL_Real, EL_Excl, EL_Self, EL_Four,                                                EL_Inter, LJ_Intra, EL_Intra, E_Bending, E_Torsion, E_Total
      4400  -0.4532801574E+006  -0.6682376157E+004  -0.4599625336E+006  -0.1027261046E+006   0.6338254709E+007  -0.6358069506E+007   0.8856825932E+004  -0.1136840760E+006   0.0000000000E+000   0.0000000000E+000   0.1015520594E+006   0.0000000000E+000  -0.4720945502E+006
      4500  -0.4522914502E+006  -0.6721712528E+004  -0.4590131627E+006  -0.1088503849E+006   0.6338251883E+007  -0.6358069506E+007   0.8195701677E+004  -0.1204723064E+006   0.0000000000E+000   0.0000000000E+000   0.1031469804E+006   0.0000000000E+000  -0.4763384887E+006
      4600  -0.4624680212E+006  -0.6830494493E+004  -0.4692985157E+006  -0.1120138603E+006   0.6338282587E+007  -0.6358069506E+007   0.8711653002E+004  -0.1230891263E+006   0.0000000000E+000   0.0000000000E+000   0.8581162025E+005   0.0000000000E+000  -0.5065760218E+006
      4700  -0.4604440917E+006  -0.6713392892E+004  -0.4671574846E+006  -0.1139068652E+006   0.6338259949E+007  -0.6358069506E+007   0.8422155430E+004  -0.1252942666E+006   0.0000000000E+000   0.0000000000E+000   0.9859354129E+005   0.0000000000E+000  -0.4938582099E+006
      4800  -0.4549227549E+006  -0.6738661800E+004  -0.4616614167E+006  -0.1106050691E+006   0.6338256671E+007  -0.6358069506E+007   0.8845364473E+004  -0.1215725399E+006   0.0000000000E+000   0.0000000000E+000   0.1004447431E+006   0.0000000000E+000  -0.4827892135E+006
      4900  -0.4572938419E+006  -0.6774115325E+004  -0.4640679573E+006  -0.1114995188E+006   0.6338237087E+007  -0.6358069506E+007   0.8605840082E+004  -0.1227260982E+006   0.0000000000E+000   0.0000000000E+000   0.1115057023E+006   0.0000000000E+000  -0.4752883531E+006
      5000  -0.4597604077E+006  -0.6780241200E+004  -0.4665406489E+006  -0.1152652438E+006   0.6338234555E+007  -0.6358069506E+007   0.9059277670E+004  -0.1260409169E+006   0.0000000000E+000   0.0000000000E+000   0.1129334948E+006   0.0000000000E+000  -0.4796480710E+006
      5100  -0.4572493911E+006  -0.6792788701E+004  -0.4640421798E+006  -0.1114179002E+006   0.6338237117E+007  -0.6358069506E+007   0.9174241613E+004  -0.1220760482E+006   0.0000000000E+000   0.0000000000E+000   0.1114886504E+006   0.0000000000E+000  -0.4746295776E+006
      5200  -0.4637218526E+006  -0.6836328071E+004  -0.4705581806E+006  -0.1039006642E+006   0.6338244132E+007  -0.6358069506E+007   0.1072906408E+005  -0.1129969742E+006   0.0000000000E+000   0.0000000000E+000   0.1075257948E+006   0.0000000000E+000  -0.4760293601E+006
      5300  -0.4642711602E+006  -0.6762681079E+004  -0.4710338413E+006  -0.1135583326E+006   0.6338247601E+007  -0.6358069506E+007   0.9256694396E+004  -0.1241235436E+006   0.0000000000E+000   0.0000000000E+000   0.1055676888E+006   0.0000000000E+000  -0.4895896960E+006
